is_string_match,is_string_without_punctuation_match,is_abbreviation,is_first_pronoun,is_second_pronoun,is_on_one_sentence,is_substring,first_name_class,second_name_class,negative,positive,support,confidence
0,0,0,0,0,1,1,PERSON,ORGANIZATION,2,0,1.2608273549102922e-05,0.0
0,0,1,0,0,1,0,UNKNOWN,PERSON,1,0,6.304136774551461e-06,0.0
1,1,0,0,0,1,1,PERSON,UNKNOWN,2,0,1.2608273549102922e-05,0.0
0,0,0,0,0,1,1,PERSON,LOCATION,1,0,6.304136774551461e-06,0.0
0,0,1,0,0,1,0,ORGANIZATION,LOCATION,2,0,1.2608273549102922e-05,0.0
1,1,0,0,0,1,1,ORGANIZATION,LOCATION,1,1,1.2608273549102922e-05,0.5
1,1,0,0,0,1,1,UNKNOWN,ORGANIZATION,1,1,1.2608273549102922e-05,0.5
0,0,0,1,0,1,1,PERSON,PERSON,2,0,1.2608273549102922e-05,0.0
0,0,0,0,0,1,1,ORGANIZATION,PERSON,1,0,6.304136774551461e-06,0.0
0,0,1,0,0,1,0,PERSON,UNKNOWN,3,0,1.8912410323654382e-05,0.0
0,0,1,0,0,1,0,LOCATION,PERSON,2,0,1.2608273549102922e-05,0.0
0,0,0,1,0,1,1,PERSON,ORGANIZATION,3,0,1.8912410323654382e-05,0.0
0,0,0,0,0,1,1,ORGANIZATION,LOCATION,2,0,1.2608273549102922e-05,0.0
0,0,1,0,0,0,0,ORGANIZATION,PERSON,2,0,1.2608273549102922e-05,0.0
0,0,1,0,0,1,0,PERSON,ORGANIZATION,1,0,6.304136774551461e-06,0.0
0,0,1,0,0,0,0,PERSON,ORGANIZATION,2,0,1.2608273549102922e-05,0.0
1,1,0,0,0,1,1,LOCATION,UNKNOWN,3,0,1.8912410323654382e-05,0.0
0,0,0,1,0,1,1,PERSON,LOCATION,1,0,6.304136774551461e-06,0.0
0,0,1,0,0,1,0,ORGANIZATION,PERSON,1,0,6.304136774551461e-06,0.0
0,0,1,0,0,0,0,LOCATION,LOCATION,2,0,1.2608273549102922e-05,0.0
0,0,0,1,0,0,1,PERSON,ORGANIZATION,5,0,3.15206838727573e-05,0.0
